TIME,DC_POWER,DATE
2023-11-07 15:29:00,2918.4199999999996,6
2023-11-07 15:30:00,2918.4199999999996,6
2023-11-07 15:31:00,2918.4199999999996,6
2023-11-07 15:32:00,2918.4199999999996,6
2023-11-07 15:33:00,2918.4199999999996,6
2023-11-07 15:34:00,2918.4199999999996,6
2023-11-07 15:35:00,2918.4199999999996,6
2023-11-07 15:36:00,2918.4199999999996,6
2023-11-07 15:37:00,2918.4199999999996,6
2023-11-07 15:38:00,2918.4199999999996,6
2023-11-07 15:39:00,2918.4199999999996,6
2023-11-07 15:40:00,2918.4199999999996,6
2023-11-07 15:41:00,2918.4199999999996,6
2023-11-07 15:42:00,2918.4199999999996,6
2023-11-07 15:43:00,2918.4199999999996,6
2023-11-07 15:44:00,2918.4199999999996,6
2023-11-07 15:45:00,2918.4199999999996,6
2023-11-07 15:46:00,2918.4199999999996,6
2023-11-07 15:47:00,2918.4199999999996,6
2023-11-07 15:48:00,6799.458,6
2023-11-07 15:49:00,6799.458,6
2023-11-07 15:50:00,6799.458,6
2023-11-07 15:51:00,6799.458,6
2023-11-07 15:52:00,6799.458,6
2023-11-07 15:53:00,6925.722000000001,6
2023-11-07 15:54:00,6925.722000000001,6
2023-11-07 15:55:00,6925.722000000001,6
2023-11-07 15:56:00,6925.722000000001,6
2023-11-07 15:57:00,6925.722000000001,6
2023-11-07 15:58:00,6925.722000000001,6
2023-11-07 15:59:00,6925.722000000001,6
2023-11-07 16:00:00,6925.722000000001,6
2023-11-07 16:01:00,6925.722000000001,6
2023-11-07 16:02:00,6925.722000000001,6
2023-11-07 16:03:00,6925.722000000001,6
2023-11-07 16:04:00,6925.722000000001,6
2023-11-07 16:05:00,6925.722000000001,6
2023-11-07 16:06:00,6925.722000000001,6
2023-11-07 16:07:00,6925.722000000001,6
2023-11-07 16:08:00,3835.639,6
2023-11-07 16:09:00,3835.639,6
2023-11-07 16:10:00,4748.415,6
2023-11-07 16:11:00,4748.415,6
2023-11-07 16:12:00,4748.415,6
2023-11-07 16:13:00,4748.415,6
2023-11-07 16:14:00,4748.415,6
2023-11-07 16:15:00,4748.415,6
2023-11-07 16:16:00,4748.415,6
2023-11-07 16:17:00,4748.415,6
2023-11-07 16:18:00,4748.415,6
2023-11-07 16:19:00,4748.415,6
2023-11-07 16:20:00,4748.415,6
2023-11-07 16:21:00,4748.415,6
2023-11-07 16:22:00,4748.415,6
2023-11-07 16:23:00,4748.415,6
2023-11-07 16:24:00,4748.415,6
2023-11-07 16:25:00,4748.415,6
2023-11-07 16:26:00,4748.415,6
2023-11-07 16:27:00,4748.415,6
2023-11-07 16:28:00,4748.415,6
2023-11-07 16:29:00,1749.66,6
2023-11-07 16:30:00,1749.66,6
2023-11-07 16:31:00,1749.66,6
2023-11-07 16:32:00,2329.185,6
2023-11-07 16:33:00,2382.8839999999996,6
2023-11-07 16:34:00,2382.8839999999996,6
2023-11-07 16:35:00,2382.8839999999996,6
2023-11-07 16:36:00,2382.8839999999996,6
2023-11-07 16:37:00,2382.8839999999996,6
2023-11-07 16:38:00,2382.8839999999996,6
2023-11-07 16:39:00,2382.8839999999996,6
2023-11-07 16:40:00,2382.8839999999996,6
2023-11-07 16:41:00,2382.8839999999996,6
2023-11-07 16:42:00,2382.8839999999996,6
2023-11-07 16:43:00,2382.8839999999996,6
2023-11-07 16:44:00,2382.8839999999996,6
2023-11-07 16:45:00,2382.8839999999996,6
2023-11-07 16:46:00,2382.8839999999996,6
2023-11-07 16:47:00,2382.8839999999996,6
2023-11-07 16:48:00,2382.8839999999996,6
2023-11-07 16:49:00,2382.8839999999996,6
2023-11-07 16:50:00,2382.8839999999996,6
2023-11-07 16:51:00,2382.8839999999996,6
2023-11-07 16:52:00,2382.8839999999996,6
2023-11-07 16:53:00,2382.8839999999996,6
2023-11-07 16:54:00,185.479,6
2023-11-07 16:55:00,197.117,6
2023-11-07 16:56:00,197.117,6
2023-11-07 16:57:00,197.117,6
2023-11-07 16:58:00,197.117,6
2023-11-07 16:59:00,197.117,6
2023-11-07 17:00:00,197.117,6
2023-11-08 07:00:00,0.0,7
2023-11-08 07:01:00,0.0,7
2023-11-08 07:02:00,0.0,7
2023-11-08 07:03:00,0.0,7
2023-11-08 07:04:00,0.0,7
2023-11-08 07:05:00,0.0,7
2023-11-08 07:06:00,0.0,7
2023-11-08 07:07:00,0.0,7
2023-11-08 07:08:00,0.0,7
2023-11-08 07:09:00,218.778,7
2023-11-08 07:10:00,218.778,7
2023-11-08 07:11:00,218.778,7
2023-11-08 07:12:00,218.778,7
2023-11-08 07:13:00,218.778,7
2023-11-08 07:14:00,218.778,7
2023-11-08 07:15:00,218.778,7
2023-11-08 07:16:00,218.778,7
2023-11-08 07:17:00,218.778,7
2023-11-08 07:18:00,218.778,7
2023-11-08 07:19:00,218.778,7
2023-11-08 07:20:00,218.778,7
2023-11-08 07:21:00,218.778,7
2023-11-08 07:22:00,218.778,7
2023-11-08 07:23:00,218.778,7
2023-11-08 07:24:00,218.778,7
2023-11-08 07:25:00,218.778,7
2023-11-08 07:26:00,218.778,7
2023-11-08 07:27:00,218.778,7
2023-11-08 07:28:00,218.778,7
2023-11-08 07:29:00,218.778,7
2023-11-08 07:30:00,218.778,7
2023-11-08 07:31:00,419.811,7
2023-11-08 07:32:00,417.396,7
2023-11-08 07:33:00,417.396,7
2023-11-08 07:34:00,417.396,7
2023-11-08 07:35:00,417.396,7
2023-11-08 07:36:00,417.396,7
2023-11-08 07:37:00,417.396,7
2023-11-08 07:38:00,417.396,7
2023-11-08 07:39:00,417.396,7
2023-11-08 07:40:00,417.396,7
2023-11-08 07:41:00,417.396,7
2023-11-08 07:42:00,417.396,7
2023-11-08 07:43:00,417.396,7
2023-11-08 07:44:00,417.396,7
2023-11-08 07:45:00,417.396,7
2023-11-08 07:46:00,417.396,7
2023-11-08 07:47:00,417.396,7
2023-11-08 07:48:00,417.396,7
2023-11-08 07:49:00,417.396,7
2023-11-08 07:50:00,417.396,7
2023-11-08 07:51:00,811.838,7
2023-11-08 07:52:00,811.838,7
2023-11-08 07:53:00,701.3580000000001,7
2023-11-08 07:54:00,701.3580000000001,7
2023-11-08 07:55:00,456.382,7
2023-11-08 07:56:00,456.382,7
2023-11-08 07:57:00,456.382,7
2023-11-08 07:58:00,456.382,7
2023-11-08 07:59:00,456.382,7
2023-11-08 08:00:00,456.382,7
2023-11-08 08:01:00,456.382,7
2023-11-08 08:02:00,456.382,7
2023-11-08 08:03:00,456.382,7
2023-11-08 08:04:00,456.382,7
2023-11-08 08:05:00,456.382,7
2023-11-08 08:06:00,456.382,7
2023-11-08 08:07:00,456.382,7
2023-11-08 08:08:00,456.382,7
2023-11-08 08:09:00,456.382,7
2023-11-08 08:10:00,456.382,7
2023-11-08 08:11:00,456.382,7
2023-11-08 08:12:00,456.382,7
2023-11-08 08:13:00,456.382,7
2023-11-08 08:14:00,456.382,7
2023-11-08 08:15:00,814.5369999999999,7
2023-11-08 08:16:00,814.5369999999999,7
2023-11-08 08:17:00,814.5369999999999,7
2023-11-08 08:18:00,814.5369999999999,7
2023-11-08 08:19:00,814.5369999999999,7
2023-11-08 08:20:00,814.5369999999999,7
2023-11-08 08:21:00,814.5369999999999,7
2023-11-08 08:22:00,814.5369999999999,7
2023-11-08 08:23:00,814.5369999999999,7
2023-11-08 08:24:00,814.5369999999999,7
2023-11-08 08:25:00,814.5369999999999,7
2023-11-08 08:26:00,814.5369999999999,7
2023-11-08 08:27:00,814.5369999999999,7
2023-11-08 08:28:00,814.5369999999999,7
2023-11-08 08:29:00,814.5369999999999,7
2023-11-08 08:30:00,814.5369999999999,7
2023-11-08 08:31:00,814.5369999999999,7
2023-11-08 08:32:00,814.5369999999999,7
2023-11-08 08:33:00,814.5369999999999,7
2023-11-08 08:34:00,814.5369999999999,7
2023-11-08 08:35:00,814.5369999999999,7
2023-11-08 08:36:00,1423.9470000000001,7
2023-11-08 08:37:00,1422.6000000000001,7
2023-11-08 08:38:00,1422.6000000000001,7
2023-11-08 08:39:00,1422.6000000000001,7
2023-11-08 08:40:00,1422.6000000000001,7
2023-11-08 08:41:00,1422.6000000000001,7
2023-11-08 08:42:00,1422.6000000000001,7
2023-11-08 08:43:00,1422.6000000000001,7
2023-11-08 08:44:00,1422.6000000000001,7
2023-11-08 08:45:00,1422.6000000000001,7
2023-11-08 08:46:00,1405.066,7
2023-11-08 08:47:00,1405.066,7
2023-11-08 08:48:00,1405.066,7
2023-11-08 08:49:00,1405.066,7
2023-11-08 08:50:00,1405.066,7
2023-11-08 08:51:00,1405.066,7
2023-11-08 08:52:00,1405.066,7
2023-11-08 08:53:00,1405.066,7
2023-11-08 08:54:00,1405.066,7
2023-11-08 08:55:00,1405.066,7
2023-11-08 08:56:00,1405.066,7
2023-11-08 08:57:00,4039.6679999999997,7
2023-11-08 08:58:00,3807.658,7
2023-11-08 08:59:00,3807.658,7
2023-11-08 09:00:00,3807.658,7
2023-11-08 09:01:00,3807.658,7
2023-11-08 09:02:00,3350.4700000000003,7
2023-11-08 09:03:00,3350.4700000000003,7
2023-11-08 09:04:00,3350.4700000000003,7
2023-11-08 09:05:00,3350.4700000000003,7
2023-11-08 09:06:00,3350.4700000000003,7
2023-11-08 09:07:00,3350.4700000000003,7
2023-11-08 09:08:00,3350.4700000000003,7
2023-11-08 09:09:00,5637.788,7
2023-11-08 09:10:00,5637.788,7
2023-11-08 09:11:00,5637.788,7
2023-11-08 09:12:00,5637.788,7
2023-11-08 09:13:00,5637.788,7
2023-11-08 09:14:00,5637.788,7
2023-11-08 09:15:00,5637.788,7
2023-11-08 09:16:00,5637.788,7
2023-11-08 09:17:00,5637.788,7
2023-11-08 09:18:00,5637.788,7
2023-11-08 09:19:00,5637.788,7
2023-11-08 09:20:00,4505.275000000001,7
2023-11-08 09:21:00,4505.275000000001,7
2023-11-08 09:22:00,4505.275000000001,7
2023-11-08 09:23:00,4505.275000000001,7
2023-11-08 09:24:00,4505.275000000001,7
2023-11-08 09:25:00,4505.275000000001,7
2023-11-08 09:26:00,4505.275000000001,7
2023-11-08 09:27:00,4505.275000000001,7
2023-11-08 09:28:00,4505.275000000001,7
2023-11-08 09:29:00,4505.275000000001,7
2023-11-08 09:30:00,4505.275000000001,7
2023-11-08 09:31:00,4505.275000000001,7
2023-11-08 09:32:00,4505.275000000001,7
2023-11-08 09:33:00,4505.275000000001,7
2023-11-08 09:34:00,4505.275000000001,7
2023-11-08 09:35:00,4505.275000000001,7
2023-11-08 09:36:00,4505.275000000001,7
2023-11-08 09:37:00,6528.9580000000005,7
2023-11-08 09:38:00,6528.9580000000005,7
2023-11-08 09:39:00,6528.9580000000005,7
2023-11-08 09:40:00,6528.9580000000005,7
2023-11-08 09:41:00,3221.0809999999997,7
2023-11-08 09:42:00,3365.393,7
2023-11-08 09:43:00,3365.393,7
2023-11-08 09:44:00,3365.393,7
2023-11-08 09:45:00,3365.393,7
2023-11-08 09:46:00,3365.393,7
2023-11-08 09:47:00,3365.393,7
2023-11-08 09:48:00,3365.393,7
2023-11-08 09:49:00,3365.393,7
2023-11-08 09:50:00,3365.393,7
2023-11-08 09:51:00,3365.393,7
2023-11-08 09:52:00,3365.393,7
2023-11-08 09:53:00,3365.393,7
2023-11-08 09:54:00,3365.393,7
2023-11-08 09:55:00,3365.393,7
2023-11-08 09:56:00,3365.393,7
2023-11-08 09:57:00,3365.393,7
2023-11-08 09:58:00,3365.393,7
2023-11-08 09:59:00,3365.393,7
2023-11-08 10:00:00,3365.393,7
2023-11-08 10:01:00,3365.393,7
2023-11-08 10:02:00,10191.626,7
2023-11-08 10:03:00,10191.626,7
2023-11-08 10:04:00,9924.849999999999,7
2023-11-08 10:05:00,9924.849999999999,7
2023-11-08 10:06:00,9924.849999999999,7
2023-11-08 10:07:00,9924.849999999999,7
2023-11-08 10:08:00,9924.849999999999,7
2023-11-08 10:09:00,9924.849999999999,7
2023-11-08 10:10:00,9924.849999999999,7
2023-11-08 10:11:00,9924.849999999999,7
2023-11-08 10:12:00,9924.849999999999,7
2023-11-08 10:13:00,9924.849999999999,7
2023-11-08 10:14:00,9924.849999999999,7
2023-11-08 10:15:00,9924.849999999999,7
2023-11-08 10:16:00,9924.849999999999,7
2023-11-08 10:17:00,9924.849999999999,7
2023-11-08 10:18:00,9924.849999999999,7
2023-11-08 10:19:00,3408.613,7
2023-11-08 10:20:00,3408.613,7
2023-11-08 10:21:00,3408.613,7
2023-11-08 10:22:00,3408.613,7
2023-11-08 10:23:00,3408.613,7
2023-11-08 10:24:00,3408.613,7
2023-11-08 10:25:00,10773.309,7
2023-11-08 10:26:00,9642.625,7
2023-11-08 10:27:00,9642.625,7
2023-11-08 10:28:00,9642.625,7
2023-11-08 10:29:00,9642.625,7
2023-11-08 10:30:00,9642.625,7
2023-11-08 10:31:00,9642.625,7
2023-11-08 10:32:00,9642.625,7
2023-11-08 10:33:00,9642.625,7
2023-11-08 10:34:00,9642.625,7
2023-11-08 10:35:00,9642.625,7
2023-11-08 10:36:00,9642.625,7
2023-11-08 10:37:00,0.0,7
2023-11-08 10:38:00,0.0,7
2023-11-08 10:39:00,0.0,7
2023-11-08 10:40:00,0.0,7
2023-11-08 10:41:00,0.0,7
2023-11-08 10:42:00,0.0,7
2023-11-08 10:43:00,0.0,7
2023-11-08 10:44:00,10198.777,7
2023-11-08 10:45:00,10198.777,7
2023-11-08 10:46:00,10198.777,7
2023-11-08 10:47:00,10198.777,7
2023-11-08 10:48:00,10071.754,7
2023-11-08 10:49:00,10071.754,7
2023-11-08 10:50:00,10071.754,7
2023-11-08 10:51:00,10071.754,7
2023-11-08 10:52:00,10071.754,7
2023-11-08 10:53:00,10071.754,7
2023-11-08 10:54:00,10071.754,7
2023-11-08 10:55:00,10071.754,7
2023-11-08 10:56:00,10071.754,7
2023-11-08 10:57:00,10360.105000000001,7
2023-11-08 10:58:00,10360.105000000001,7
2023-11-08 10:59:00,10360.105000000001,7
2023-11-08 11:00:00,10360.105000000001,7
2023-11-08 11:01:00,10360.105000000001,7
2023-11-08 11:02:00,10360.105000000001,7
2023-11-08 11:03:00,10360.105000000001,7
2023-11-08 11:04:00,10360.105000000001,7
2023-11-08 11:05:00,7834.326,7
2023-11-08 11:06:00,7834.326,7
2023-11-08 11:07:00,7834.326,7
2023-11-08 11:08:00,7834.326,7
2023-11-08 11:09:00,7834.326,7
2023-11-08 11:10:00,8847.189,7
2023-11-08 11:11:00,8847.189,7
2023-11-08 11:12:00,8847.189,7
2023-11-08 11:13:00,8847.189,7
2023-11-08 11:14:00,8847.189,7
2023-11-08 11:15:00,8847.189,7
2023-11-08 11:16:00,8847.189,7
2023-11-08 11:17:00,8847.189,7
2023-11-08 11:18:00,8847.189,7
2023-11-08 11:19:00,8847.189,7
2023-11-08 11:20:00,3345.351,7
2023-11-08 11:21:00,3345.351,7
2023-11-08 11:22:00,3345.351,7
2023-11-08 11:23:00,3345.351,7
2023-11-08 11:24:00,3345.351,7
2023-11-08 11:25:00,3345.351,7
2023-11-08 11:26:00,3345.351,7
2023-11-08 11:27:00,3345.351,7
2023-11-08 11:28:00,3345.351,7
2023-11-08 11:29:00,3345.351,7
2023-11-08 11:30:00,3345.351,7
2023-11-08 11:31:00,3345.351,7
2023-11-08 11:32:00,6452.2919999999995,7
2023-11-08 11:33:00,6452.2919999999995,7
2023-11-08 11:34:00,6452.2919999999995,7
2023-11-08 11:35:00,8937.419,7
2023-11-08 11:36:00,8937.419,7
2023-11-08 11:37:00,8937.419,7
2023-11-08 11:38:00,8937.419,7
2023-11-08 11:39:00,8937.419,7
2023-11-08 11:40:00,8937.419,7
2023-11-08 11:41:00,8937.419,7
2023-11-08 11:42:00,8937.419,7
2023-11-08 11:43:00,8937.419,7
2023-11-08 11:44:00,8937.419,7
2023-11-08 11:45:00,8937.419,7
2023-11-08 11:46:00,8937.419,7
2023-11-08 11:47:00,8937.419,7
2023-11-08 11:48:00,8937.419,7
2023-11-08 11:49:00,0.0,7
2023-11-08 11:50:00,0.0,7
2023-11-08 11:51:00,0.0,7
2023-11-08 11:52:00,0.0,7
2023-11-08 11:53:00,0.0,7
2023-11-08 11:54:00,49.604,7
2023-11-08 11:55:00,49.604,7
2023-11-08 11:56:00,49.604,7
2023-11-08 11:57:00,49.604,7
2023-11-08 11:58:00,49.604,7
2023-11-08 11:59:00,10461.884,7
2023-11-08 12:00:00,10461.884,7
2023-11-08 12:01:00,10461.884,7
2023-11-08 12:02:00,10461.884,7
2023-11-08 12:03:00,10461.884,7
2023-11-08 12:04:00,10461.884,7
2023-11-08 12:05:00,10461.884,7
2023-11-08 12:06:00,10461.884,7
2023-11-08 12:07:00,10461.884,7
2023-11-08 12:08:00,10461.884,7
2023-11-08 12:09:00,10461.884,7
2023-11-08 12:10:00,10461.884,7
2023-11-08 12:11:00,10461.884,7
2023-11-08 12:12:00,10461.884,7
2023-11-08 12:13:00,10461.884,7
2023-11-08 12:14:00,10461.884,7
2023-11-08 12:15:00,10461.884,7
2023-11-08 12:16:00,6719.141,7
2023-11-08 12:17:00,6719.141,7
2023-11-08 12:18:00,6719.141,7
2023-11-08 12:19:00,6719.141,7
2023-11-08 12:20:00,6719.141,7
2023-11-08 12:21:00,6719.141,7
2023-11-08 12:22:00,6719.141,7
2023-11-08 12:23:00,6719.141,7
2023-11-08 12:24:00,6719.141,7
2023-11-08 12:25:00,10690.875,7
2023-11-08 12:26:00,10690.875,7
2023-11-08 12:27:00,10690.875,7
2023-11-08 12:28:00,10690.875,7
2023-11-08 12:29:00,10690.875,7
2023-11-08 12:30:00,10690.875,7
2023-11-08 12:31:00,10690.875,7
2023-11-08 12:32:00,10690.875,7
2023-11-08 12:33:00,10690.875,7
2023-11-08 12:34:00,10690.875,7
2023-11-08 12:35:00,10690.875,7
2023-11-08 12:36:00,10690.875,7
2023-11-08 12:37:00,10690.875,7
2023-11-08 12:38:00,3155.717,7
2023-11-08 12:39:00,3155.717,7
2023-11-08 12:40:00,3155.717,7
2023-11-08 12:41:00,3155.717,7
2023-11-08 12:42:00,3155.717,7
2023-11-08 12:43:00,8652.853000000001,7
2023-11-08 12:44:00,8652.853000000001,7
2023-11-08 12:45:00,8652.853000000001,7
2023-11-08 12:46:00,8652.853000000001,7
2023-11-08 12:47:00,8652.853000000001,7
2023-11-08 12:48:00,8652.853000000001,7
2023-11-08 12:49:00,8652.853000000001,7
2023-11-08 12:50:00,8652.853000000001,7
2023-11-08 12:51:00,8652.853000000001,7
2023-11-08 12:52:00,8652.853000000001,7
2023-11-08 12:53:00,8652.853000000001,7
2023-11-08 12:54:00,8652.853000000001,7
2023-11-08 12:55:00,1813.963,7
2023-11-08 12:56:00,1813.963,7
2023-11-08 12:57:00,1813.963,7
2023-11-08 12:58:00,1813.963,7
2023-11-08 12:59:00,1813.963,7
2023-11-08 13:00:00,2132.556,7
2023-11-08 13:01:00,2132.556,7
2023-11-08 13:02:00,2132.556,7
2023-11-08 13:03:00,2132.556,7
2023-11-08 13:04:00,2132.556,7
2023-11-08 13:05:00,2132.556,7
2023-11-08 13:06:00,2132.556,7
2023-11-08 13:07:00,2132.556,7
2023-11-08 13:08:00,2132.556,7
2023-11-08 13:09:00,2132.556,7
2023-11-08 13:10:00,2132.556,7
2023-11-08 13:11:00,2132.556,7
2023-11-08 13:12:00,2132.556,7
2023-11-08 13:13:00,2132.556,7
2023-11-08 13:14:00,2132.556,7
2023-11-08 13:15:00,2132.556,7
2023-11-08 13:16:00,2132.556,7
2023-11-08 13:17:00,2132.556,7
2023-11-08 13:18:00,2132.556,7
2023-11-08 13:19:00,2132.556,7
2023-11-08 13:20:00,2132.556,7
2023-11-08 13:21:00,9642.239,7
2023-11-08 13:22:00,9642.239,7
2023-11-08 13:23:00,9642.239,7
2023-11-08 13:24:00,9642.239,7
2023-11-08 13:25:00,9642.239,7
2023-11-08 13:26:00,9642.239,7
2023-11-08 13:27:00,9642.239,7
2023-11-08 13:28:00,9642.239,7
2023-11-08 13:29:00,9642.239,7
2023-11-08 13:30:00,9642.239,7
2023-11-08 13:31:00,9642.239,7
2023-11-08 13:32:00,9642.239,7
2023-11-08 13:33:00,10522.694,7
2023-11-08 13:34:00,10522.694,7
2023-11-08 13:35:00,10522.694,7
2023-11-08 13:36:00,10522.694,7
2023-11-08 13:37:00,10522.694,7
2023-11-08 13:38:00,10522.694,7
2023-11-08 13:39:00,10522.694,7
2023-11-08 13:40:00,10522.694,7
2023-11-08 13:41:00,10522.694,7
2023-11-08 13:42:00,5272.782,7
2023-11-08 13:43:00,5584.289,7
2023-11-08 13:44:00,5584.289,7
2023-11-08 13:45:00,5584.289,7
2023-11-08 13:46:00,5584.289,7
2023-11-08 13:47:00,5584.289,7
2023-11-08 13:48:00,4895.603999999999,7
2023-11-08 13:49:00,4895.603999999999,7
2023-11-08 13:50:00,4895.603999999999,7
2023-11-08 13:51:00,4895.603999999999,7
2023-11-08 13:52:00,4895.603999999999,7
2023-11-08 13:53:00,4895.603999999999,7
2023-11-08 13:54:00,4895.603999999999,7
2023-11-08 13:55:00,4895.603999999999,7
2023-11-08 13:56:00,4895.603999999999,7
2023-11-08 13:57:00,4895.603999999999,7
2023-11-08 13:58:00,4895.603999999999,7
2023-11-08 13:59:00,4895.603999999999,7
2023-11-08 14:00:00,4895.603999999999,7
2023-11-08 14:01:00,4895.603999999999,7
2023-11-08 14:02:00,4895.603999999999,7
2023-11-08 14:03:00,4895.603999999999,7
2023-11-08 14:04:00,4895.603999999999,7
2023-11-08 14:05:00,9526.688999999998,7
2023-11-08 14:06:00,9526.688999999998,7
2023-11-08 14:07:00,9526.688999999998,7
2023-11-08 14:08:00,9526.688999999998,7
2023-11-08 14:09:00,9526.688999999998,7
2023-11-08 14:10:00,9526.688999999998,7
2023-11-08 14:11:00,9526.688999999998,7
2023-11-08 14:12:00,9526.688999999998,7
2023-11-08 14:13:00,9526.688999999998,7
2023-11-08 14:14:00,9526.688999999998,7
2023-11-08 14:15:00,9526.688999999998,7
2023-11-08 14:16:00,9526.688999999998,7
2023-11-08 14:17:00,9526.688999999998,7
2023-11-08 14:18:00,9526.688999999998,7
2023-11-08 14:19:00,9526.688999999998,7
2023-11-08 14:20:00,9526.688999999998,7
2023-11-08 14:21:00,9526.688999999998,7
2023-11-08 14:22:00,9526.688999999998,7
2023-11-08 14:23:00,9526.688999999998,7
2023-11-08 14:24:00,9526.688999999998,7
2023-11-08 14:25:00,10911.017,7
2023-11-08 14:26:00,10911.017,7
2023-11-08 14:27:00,9746.031,7
2023-11-08 14:28:00,10533.673999999999,7
2023-11-08 14:29:00,10533.673999999999,7
2023-11-08 14:30:00,10533.673999999999,7
2023-11-08 14:31:00,10533.673999999999,7
2023-11-08 14:32:00,10533.673999999999,7
2023-11-08 14:33:00,10533.673999999999,7
2023-11-08 14:34:00,10533.673999999999,7
2023-11-08 14:35:00,10533.673999999999,7
2023-11-08 14:36:00,10533.673999999999,7
2023-11-08 14:37:00,10533.673999999999,7
2023-11-08 14:38:00,10533.673999999999,7
2023-11-08 14:39:00,10533.673999999999,7
2023-11-08 14:40:00,10533.673999999999,7
2023-11-08 14:41:00,10533.673999999999,7
2023-11-08 14:42:00,10533.673999999999,7
2023-11-08 14:43:00,10533.673999999999,7
2023-11-08 14:44:00,10533.673999999999,7
2023-11-08 14:45:00,10533.673999999999,7
2023-11-08 14:46:00,10533.673999999999,7
2023-11-08 14:47:00,10533.673999999999,7
2023-11-08 14:48:00,2917.055,7
2023-11-08 14:49:00,2929.439,7
2023-11-08 14:50:00,2929.439,7
2023-11-08 14:51:00,2929.439,7
2023-11-08 14:52:00,2929.439,7
2023-11-08 14:53:00,2929.439,7
2023-11-08 14:54:00,2929.439,7
2023-11-08 14:55:00,2929.439,7
2023-11-08 14:56:00,2929.439,7
2023-11-08 14:57:00,2929.439,7
2023-11-08 14:58:00,2929.439,7
2023-11-08 14:59:00,2929.439,7
2023-11-08 15:00:00,3169.995,7
2023-11-08 15:01:00,3169.995,7
2023-11-08 15:02:00,3169.995,7
2023-11-08 15:03:00,3169.995,7
2023-11-08 15:04:00,3169.995,7
2023-11-08 15:05:00,3169.995,7
2023-11-08 15:06:00,3169.995,7
2023-11-08 15:07:00,3169.995,7
2023-11-08 15:08:00,2366.944,7
2023-11-08 15:09:00,2366.944,7
2023-11-08 15:10:00,2366.944,7
2023-11-08 15:11:00,2431.626,7
2023-11-08 15:12:00,2431.626,7
2023-11-08 15:13:00,2431.626,7
2023-11-08 15:14:00,2431.626,7
2023-11-08 15:15:00,2431.626,7
2023-11-08 15:16:00,2431.626,7
2023-11-08 15:17:00,2319.925,7
2023-11-08 15:18:00,2319.925,7
2023-11-08 15:19:00,2319.925,7
2023-11-08 15:20:00,2319.925,7
2023-11-08 15:21:00,2319.925,7
2023-11-08 15:22:00,2319.925,7
2023-11-08 15:23:00,2319.925,7
2023-11-08 15:24:00,2319.925,7
2023-11-08 15:25:00,2319.925,7
2023-11-08 15:26:00,2319.925,7
2023-11-08 15:27:00,6334.874,7
2023-11-08 15:28:00,6334.874,7
2023-11-08 15:29:00,6334.874,7
2023-11-08 15:30:00,6334.874,7
2023-11-08 15:31:00,6334.874,7
2023-11-08 15:32:00,6334.874,7
2023-11-08 15:33:00,3778.172,7
2023-11-08 15:34:00,3778.172,7
2023-11-08 15:35:00,3778.172,7
2023-11-08 15:36:00,3778.172,7
2023-11-08 15:37:00,3778.172,7
2023-11-08 15:38:00,3778.172,7
2023-11-08 15:39:00,3778.172,7
2023-11-08 15:40:00,3778.172,7
2023-11-08 15:41:00,3778.172,7
2023-11-08 15:42:00,3778.172,7
2023-11-08 15:43:00,3778.172,7
2023-11-08 15:44:00,3778.172,7
2023-11-08 15:45:00,3778.172,7
2023-11-08 15:46:00,3778.172,7
2023-11-08 15:47:00,3778.172,7
2023-11-08 15:48:00,3778.172,7
2023-11-08 15:49:00,3778.172,7
2023-11-08 15:50:00,9287.635,7
2023-11-08 15:51:00,9287.635,7
2023-11-08 15:52:00,9287.635,7
2023-11-08 15:53:00,9287.635,7
2023-11-08 15:54:00,9287.635,7
2023-11-08 15:55:00,2237.3889999999997,7
2023-11-08 15:56:00,2237.3889999999997,7
2023-11-08 15:57:00,2237.3889999999997,7
2023-11-08 15:58:00,2237.3889999999997,7
2023-11-08 15:59:00,2237.3889999999997,7
2023-11-08 16:00:00,2237.3889999999997,7
2023-11-08 16:01:00,2237.3889999999997,7
2023-11-08 16:02:00,2237.3889999999997,7
2023-11-08 16:03:00,2237.3889999999997,7
2023-11-08 16:04:00,2237.3889999999997,7
2023-11-08 16:05:00,2237.3889999999997,7
2023-11-08 16:06:00,2237.3889999999997,7
2023-11-08 16:07:00,2237.3889999999997,7
2023-11-08 16:08:00,2237.3889999999997,7
2023-11-08 16:09:00,2237.3889999999997,7
2023-11-08 16:10:00,2237.3889999999997,7
2023-11-08 16:11:00,2237.3889999999997,7
2023-11-08 16:12:00,2237.3889999999997,7
2023-11-08 16:13:00,2237.3889999999997,7
2023-11-08 16:14:00,2237.3889999999997,7
2023-11-08 16:15:00,2237.3889999999997,7
2023-11-08 16:16:00,307.461,7
2023-11-08 16:17:00,315.105,7
2023-11-08 16:18:00,315.105,7
2023-11-08 16:19:00,315.105,7
2023-11-08 16:20:00,315.105,7
2023-11-08 16:21:00,315.105,7
2023-11-08 16:22:00,315.105,7
2023-11-08 16:23:00,315.105,7
2023-11-08 16:24:00,315.105,7
2023-11-08 16:25:00,315.105,7
2023-11-08 16:26:00,369.67499999999995,7
2023-11-08 16:27:00,369.67499999999995,7
2023-11-08 16:28:00,369.67499999999995,7
2023-11-08 16:29:00,369.67499999999995,7
2023-11-08 16:30:00,369.67499999999995,7
2023-11-08 16:31:00,369.67499999999995,7
